iter	Passed	Remaining
0	167	166876
1	200	99803
2	234	77972
3	269	67205
4	303	60492
5	335	55581
6	366	51985
7	402	49891
8	441	48575
9	481	47716
10	520	46840
11	562	46339
12	593	45097
13	625	44041
14	654	43004
15	684	42111
16	714	41315
17	745	40662
18	774	40009
19	806	39506
20	846	39452
21	886	39396
22	926	39335
23	959	39012
24	991	38658
25	1021	38260
26	1051	37902
27	1084	37650
28	1125	37690
29	1159	37500
30	1190	37207
31	1221	36944
32	1252	36690
33	1281	36422
34	1312	36176
35	1343	35965
36	1373	35747
37	1407	35638
38	1446	35638
39	1519	36469
40	1562	36543
41	1595	36385
42	1628	36250
43	1660	36067
44	1691	35905
45	1722	35725
46	1769	35879
47	1799	35691
48	1830	35519
49	1861	35368
50	1891	35203
51	1925	35107
52	1961	35048
53	2003	35098
54	2039	35046
55	2070	34902
56	2100	34758
57	2132	34634
58	2164	34517
59	2194	34384
60	2226	34267
61	2257	34160
62	2289	34051
63	2327	34043
64	2366	34046
65	2406	34053
66	2447	34083
67	2485	34067
68	2516	33960
69	2550	33891
70	2590	33890
71	2621	33793
72	2652	33689
73	2684	33589
74	2714	33478
75	2745	33374
76	2777	33290
77	2808	33195
78	2839	33104
79	2875	33070
80	2914	33068
81	2957	33111
82	2990	33039
83	3021	32947
84	3057	32913
85	3088	32827
86	3119	32731
87	3149	32640
88	3179	32548
89	3210	32460
90	3243	32401
91	3274	32320
92	3309	32276
93	3349	32279
94	3390	32302
95	3435	32349
96	3475	32354
97	3516	32365
98	3548	32296
99	3580	32228
100	3612	32157
101	3646	32105
102	3679	32048
103	3712	31982
104	3744	31917
105	3780	31886
106	3820	31882
107	3861	31890
108	3908	31948
109	3944	31916
110	3977	31858
111	4009	31791
112	4049	31789
113	4084	31746
114	4118	31691
115	4151	31636
116	4183	31570
117	4215	31507
118	4246	31439
119	4276	31364
120	4307	31292
121	4342	31254
122	4386	31273
123	4429	31294
124	4462	31239
125	4498	31202
126	4530	31140
127	4562	31080
128	4593	31014
129	4627	30968
130	4659	30909
131	4690	30844
132	4723	30789
133	4755	30734
134	4790	30693
135	4827	30669
136	4868	30667
137	4908	30659
138	4950	30664
139	4988	30642
140	5024	30610
141	5056	30550
142	5086	30482
143	5116	30417
144	5148	30358
145	5179	30295
146	5211	30241
147	5242	30180
148	5279	30150
149	5319	30143
150	5361	30147
151	5398	30117
152	5430	30061
153	5461	30004
154	5491	29936
155	5521	29875
156	5552	29814
157	5583	29753
158	5613	29693
159	5644	29635
160	5684	29624
161	5724	29609
162	5769	29627
163	5803	29583
164	5835	29533
165	5867	29478
166	5902	29439
167	5935	29394
168	5967	29344
169	6000	29294
170	6041	29287
171	6082	29281
172	6120	29258
173	6154	29218
174	6187	29170
175	6217	29111
176	6249	29056
177	6281	29009
178	6313	28956
179	6342	28895
180	6374	28842
181	6408	28805
182	6449	28793
183	6494	28803
184	6538	28803
185	6571	28761
186	6605	28717
187	6637	28666
188	6667	28611
189	6699	28561
190	6729	28503
191	6759	28447
192	6789	28391
193	6822	28344
194	6869	28359
195	6909	28343
196	6941	28295
197	6972	28243
198	7006	28202
199	7042	28170
200	7073	28117
201	7104	28066
202	7135	28015
